Country,Inflation rate,Growth rate of currency,Growth rate of real currency,Growth rate of real GDP,1980-2000 Inflation rate
Congo (Brazz.),0.831,0.820,-0.011,-0.005,1.456
Brazil,0.818,0.844,0.026,0.049,1.292
Argentina,0.700,0.695,-0.005,0.025,0.911
Peru,0.535,0.528,-0.007,0.033,0.893
Uruguay,0.407,0.390,-0.017,0.019,0.388
Bolivia,0.371,0.391,0.020,0.026,0.629
Chile,0.343,0.402,0.059,0.041,0.137
Turkey,0.313,0.340,0.027,0.045,0.471
Israel,0.285,0.323,0.038,0.055,0.370
Ghana,0.269,0.263,-0.006,0.033,0.293
Sierra Leone,0.248,0.227,-0.020,0.016,0.453
Indonesia,0.228,0.303,0.075,0.060,0.104
Mexico,0.212,0.251,0.039,0.045,0.335
Ecuador,0.195,0.244,0.050,0.040,0.314
Iceland,0.186,0.194,0.008,0.039,0.173
Tanzania,0.182,0.196,0.015,0.029,0.224
Colombia,0.174,0.212,0.038,0.042,0.199
Venezuela,0.165,0.180,0.015,0.024,0.284
Nigeria,0.157,0.190,0.033,0.019,0.223
Jamaica,0.143,0.177,0.034,0.019,0.180
Iran,0.130,0.179,0.049,0.047,0.192
Costa Rica,0.125,0.165,0.039,0.043,0.188
Paraguay,0.119,0.168,0.048,0.044,0.161
Madagascar,0.117,0.131,0.014,0.018,0.158
Algeria,0.110,0.155,0.045,0.040,0.128
Kenya,0.110,0.138,0.028,0.041,0.128
Haiti,0.107,0.122,0.015,0.048,0.126
Dominican Rep.,0.106,0.144,0.037,0.052,0.153
Greece,0.104,0.141,0.037,0.037,0.131
Portugal,0.103,0.115,0.012,0.042,0.103
Philippines,0.099,0.133,0.034,0.039,0.102
Burundi,0.096,0.103,0.007,0.017,0.106
Syria,0.093,0.150,0.056,0.058,0.128
South Korea,0.091,0.177,0.086,0.075,0.055
Egypt,0.091,0.129,0.038,0.049,0.121
El Salvador,0.090,0.095,0.004,0.030,0.127
Rwanda,0.089,0.097,0.009,0.033,0.088
South Africa,0.088,0.117,0.030,0.033,0.111
Gambia,0.086,0.120,0.034,0.043,0.101
Honduras,0.086,0.122,0.036,0.035,0.121
Guatemala,0.085,0.119,0.035,0.039,0.120
Spain,0.082,0.122,0.040,0.041,0.064
Nepal,0.081,0.148,0.067,0.040,0.090
Mauritius,0.080,0.116,0.035,0.044,0.072
Sri Lanka,0.080,0.116,0.036,0.039,0.104
Trinidad,0.078,0.091,0.013,0.034,0.079
India,0.077,0.116,0.039,0.048,0.086
Italy,0.076,0.100,0.023,0.030,0.064
Pakistan,0.076,0.115,0.039,0.056,0.078
Cameroon,0.073,0.086,0.013,0.035,0.064
Fiji,0.071,0.100,0.029,0.034,0.052
Barbados,0.070,0.096,0.026,0.043,0.041
Jordan,0.070,0.092,0.022,0.052,0.052
New Zealand,0.069,0.063,-0.005,0.024,0.060
Ireland,0.068,0.101,0.033,0.048,0.050
Ivory Coast,0.066,0.093,0.027,0.039,0.054
United Kingdom,0.065,0.061,-0.005,0.024,0.047
Gabon,0.062,0.097,0.035,0.049,0.047
Senegal,0.061,0.085,0.025,0.027,0.048
Togo,0.060,0.103,0.043,0.018,0.050
Ethiopia,0.060,0.083,0.023,0.029,0.055
Finland,0.060,0.088,0.029,0.033,0.042
Denmark,0.057,0.065,0.008,0.026,0.039
Sweden,0.056,0.065,0.009,0.025,0.048
Australia,0.056,0.086,0.031,0.037,0.050
Norway,0.055,0.061,0.006,0.035,0.048
Morocco,0.053,0.103,0.050,0.049,0.054
France,0.052,0.052,0.000,0.033,0.039
Niger,0.051,0.063,0.011,0.013,0.030
Thailand,0.051,0.105,0.055,0.067,0.044
Canada,0.045,0.075,0.029,0.037,0.039
Cyprus,0.044,0.098,0.053,0.054,0.046
United States,0.044,0.074,0.030,0.035,0.037
Japan,0.043,0.101,0.058,0.050,0.014
Belgium,0.041,0.037,-0.004,0.031,0.032
Netherlands,0.040,0.052,0.012,0.032,0.024
Luxembourg,0.039,0.093,0.054,0.042,0.032
Austria,0.038,0.058,0.020,0.033,0.029
Switzerland,0.034,0.041,0.007,0.022,0.026
Malaysia,0.033,0.087,0.054,0.065,0.033
Germany,0.032,0.065,0.033,0.022,0.024
Singapore,0.032,0.098,0.066,0.081,0.023
