LOCATION,r2,slope,r2cat
TUR,0.751158032262032,1.0578549634232755,3
ISR,0.7490555227732031,0.987577591551549,3
POL,0.5752637612289251,0.9730281026102346,3
IDN,0.5347649367423402,0.9304606433507472,3
ISL,0.512694725131344,0.6975116574147183,3
COL,0.40832514809997134,0.6356345769352252,3
CRI,0.4030407794290022,0.2993070064498781,3
MEX,0.384446563525202,0.8043189259436649,3
CHL,0.35377375306193026,0.39717610124791164,2
OECDE,0.32065742220474514,0.2398570416651959,2
EA19,0.30412119041195496,-0.19159000873850648,2
RUS,0.1851543793397571,0.4252415270445302,2
SWE,0.18446837260672755,-0.1648302018355063,2
JPN,0.17588990500632207,0.24476034014335474,2
CHN,0.11935306857414985,0.32037470584887184,2
IND,0.0966543613294123,0.3034238568133232,1
KOR,0.08179326770815964,0.15824775325886556,1
NZL,0.08105539043582821,0.2172859152470102,1
DNK,0.07656249636686718,0.18647384876704595,1
ZAF,0.07082996474965275,0.13037026138198174,1
CZE,0.047203511159511935,-0.17417205331625343,1
CHE,0.027511026946308914,-0.04440978463474187,1
GBR,0.025152239563358547,0.05455023175057501,0
NOR,0.024417408698549026,0.05268519601221627,0
USA,0.01219373429916526,-0.010421685427489013,0
OECD,0.008149825395884824,-0.0134958276680954,0
CAN,0.007829795465652323,0.05653225135698266,0
HUN,0.0032557994318714867,0.07176813180109069,0
BRA,0.0016437307006440527,0.010576829748025221,0
AUS,5.4004522786255116e-05,0.004564898856371962,0
