LOCATION,TIME,M1,CPI,c_m1,c_cpi
BRA,1994-09-01,4.610708,21.97712,752.1467286287904,19.979728426454237
BRA,1994-10-01,5.194973,22.55297,318.58928818856833,36.39408984774579
BRA,1994-11-01,5.529059,23.1866,111.2589683095325,39.44403222209829
BRA,1994-12-01,5.779016,23.58311,69.99340429546233,22.56545489517037
BRA,1995-01-01,5.628501,23.98402,-27.14385153688168,22.419559216103192
BRA,1995-02-01,5.699284,24.22857,16.17979722520946,12.945688121958575
BRA,1995-03-01,5.702395,24.60419,0.6569997745210276,20.27503102787902
BRA,1995-04-01,5.375892,25.20209,-50.71453517572706,33.39201489996147
BRA,1995-05-01,5.305481,25.87492,-14.63285849872853,37.18590440932989
BRA,1995-06-01,5.405505,26.45959,25.12327923432767,30.752239411210414
BRA,1995-07-01,5.696478,27.08394,87.60387850941682,32.295414640774744
BRA,1995-08-01,5.813212,27.35214,27.560685092555957,12.552102509923602
BRA,1995-09-01,5.905327,27.6229,20.76288423138928,12.547415371425519
BRA,1995-10-01,6.197697,28.01245,78.58158295959142,18.299219141380817
BRA,1995-11-01,6.673283,28.42427,142.8345243419221,19.140304469071513
BRA,1995-12-01,7.151478,28.86765,129.44318908803706,20.4107705836317
BRA,1996-01-01,7.147456,29.25441,-0.6727978326484307,17.316460343033913
BRA,1996-02-01,6.977132,29.5558,-25.130421636913237,13.087995003471242
BRA,1996-03-01,7.092997,29.65927,21.85238683526709,4.282842865977909
BRA,1996-04-01,7.278479,30.03304,36.310805989251804,16.2160320149489
BRA,1996-05-01,7.396198,30.39939,21.231295865636056,15.66098712072439
BRA,1996-06-01,7.400899,30.7611,0.765388142552248,15.250789669186027
BRA,1996-07-01,7.463633,31.10262,10.659724743039977,14.16720100863198
BRA,1996-08-01,7.57686,31.23951,19.80303985956717,5.411226510920097
BRA,1996-09-01,7.773951,31.28637,36.091322378655576,1.81495320403946
BRA,1996-10-01,7.737434,31.38034,-5.493451267716177,3.664393821037648
BRA,1996-11-01,7.609341,31.4808,-18.15331947342802,3.9100097978519432
BRA,1996-12-01,7.701607,31.62882,15.561103892597883,5.790520271176658
BRA,1997-01-01,8.763454,32.00213,371.1156093839667,15.119990470401312
BRA,1997-02-01,10.40381,32.16222,683.7999130768959,6.1709244577306865
BRA,1997-03-01,11.35117,32.32625,184.5631027383134,6.294723753736453
BRA,1997-04-01,11.62226,32.6107,32.73929484679714,11.08553903675431
BRA,1997-05-01,11.75772,32.74434,14.918598920261283,5.030017899415951
BRA,1997-06-01,11.96657,32.92113,23.526138086987515,6.674818075653111
BRA,1997-07-01,11.80073,32.99352,-15.419497937259374,2.6708169447692276
BRA,1997-08-01,11.89296,32.98702,9.79258549280937,-0.23615406564974073
BRA,1997-09-01,12.28263,33.00674,47.23699140349253,0.7197364762674185
BRA,1997-10-01,12.60995,33.08261,37.10836167321814,2.793486458910155
BRA,1997-11-01,12.63877,33.13876,2.777335192467212,2.0558402768046324
BRA,1997-12-01,12.41909,33.28122,-18.9749020023542,5.282408231141278
BRA,1998-01-01,12.46924,33.5174,4.954850868076277,8.856160514483102
BRA,1998-02-01,12.79863,33.67169,36.735725862528625,5.665960463276742
BRA,1998-03-01,13.092,33.78607,31.253275622941135,4.153329423374497
BRA,1998-04-01,13.33444,33.86705,24.630810409309902,2.9144356718410425
