LOCATION,TIME,M3,CPI,c_m3,c_cpi
AUS,1962-01-01,0.4458183,7.244021,7.349373917340037,-0.31950231449628885
AUS,1963-01-01,0.4845302,7.290457,8.683335789490926,0.6410251985741058
AUS,1964-01-01,0.541824,7.49942,11.824608662163875,2.866253789028586
AUS,1965-01-01,0.5854482,7.754818,8.051359851169384,3.405570030749051
AUS,1966-01-01,0.6215008,8.010216,6.158119539867061,3.293410625497588
AUS,1967-01-01,0.6723976,8.288832,8.189337809380145,3.478258264196615
AUS,1968-01-01,0.7253956,8.497794,7.881943659525255,2.5210065784902076
AUS,1969-01-01,0.7912346,8.77641,9.076288855350098,3.2786862096209854
AUS,1970-01-01,0.8421313,9.078245,6.432567534331792,3.4391624821538707
AUS,1971-01-01,0.9002657,9.635477,6.903246560245406,6.138102683943857
AUS,1972-01-01,1.013499,10.21593,12.577764542179047,6.024123144085138
AUS,1973-01-01,1.251874,11.14465,23.5200034731164,9.090900192150887
AUS,1974-01-01,1.407599,12.86278,12.43935092509311,15.416634887591808
AUS,1975-01-01,1.634066,14.8131,16.088886110319766,15.162507638317685
AUS,1976-01-01,1.978437,16.78663,21.07448536350429,13.322869622158754
AUS,1977-01-01,2.388179,18.85303,20.71038905964658,12.309796546418202
AUS,1978-01-01,2.633324,20.3622,10.264934077386995,8.00492016402669
AUS,1979-01-01,2.97676,22.21964,13.041919642246837,9.122000569683024
AUS,1980-01-01,3.388137,24.47179,13.819622677004524,10.135852786093746
AUS,1981-01-01,3.814923,26.79359,12.596480012467024,9.487659055590129
AUS,1982-01-01,4.243576,29.83515,11.236216301089176,11.351819595657025
AUS,1983-01-01,4.7913,32.83028,12.907133040624219,10.038930590260158
AUS,1984-01-01,5.442685,34.13049,13.595162064575385,3.960398753833351
AUS,1985-01-01,6.306996,36.42907,15.880231907597075,6.734682098030239
AUS,1986-01-01,6.996904,39.72603,10.938773387520778,9.050354565735546
AUS,1987-01-01,7.732573,43.11586,10.514207426598974,8.533019785767658
AUS,1988-01-01,8.729262,46.22707,12.889487108624774,7.2159293587093005
AUS,1989-01-01,10.70116,49.70977,22.589515585624525,7.5338973462951495
AUS,1990-01-01,12.12207,53.355,13.278093216062567,7.333025278531761
AUS,1991-01-01,12.77976,55.04992,5.425558506096721,3.1766844719332834
AUS,1992-01-01,13.20911,55.60715,3.359609257137859,1.012226720765438
AUS,1993-01-01,13.93684,56.58231,5.509303806236751,1.7536593765370145
AUS,1994-01-01,15.00567,57.69677,7.669098590498277,1.969626195890555
AUS,1995-01-01,16.26619,60.36684,8.400291356533906,4.627763391260903
AUS,1996-01-01,17.76834,61.94567,9.234799298422045,2.615392821621931
AUS,1997-01-01,19.26162,62.08498,8.404161559267788,0.2248906178591689
AUS,1998-01-01,20.58097,62.61899,6.849631547086902,0.8601275219867913
AUS,1999-01-01,22.50454,63.54771,9.346352479985141,1.4831283609013906
AUS,2000-01-01,24.14188,66.38031,7.2755986125466325,4.457438356157904
AUS,2001-01-01,26.18872,69.30578,8.478378651538321,4.407135188130343
AUS,2002-01-01,28.56336,71.37218,9.067415284137596,2.981569502572515
AUS,2003-01-01,31.49926,73.32249,10.278552663272109,2.732591326200211
AUS,2004-01-01,34.81689,75.04063,10.532406158112925,2.343264665452566
AUS,2005-01-01,37.72851,77.0606,8.362665361552969,2.6918350765445345
AUS,2006-01-01,41.79208,79.80032,10.770555211430292,3.555279870647264
AUS,2007-01-01,48.87724,81.65777,16.953355755444576,2.327622245123829
AUS,2008-01-01,58.5621,85.21012,19.814662202693935,4.350290241822676
AUS,2009-01-01,65.51301,86.71929,11.869297719856347,1.7711159190950527
AUS,2010-01-01,69.21703,89.25006,5.653869361215429,2.9183472327783173
AUS,2011-01-01,75.90085,92.19875,9.656323017615769,3.303852120659638
AUS,2012-01-01,81.86954,93.82401,7.863798626761089,1.762778779538765
AUS,2013-01-01,87.33091,96.12259,6.670820429673847,2.4498846297445622
AUS,2014-01-01,93.633,98.51405,7.216333827278328,2.487927135546384
AUS,2015-01-01,100.0,100.0,6.799953008020682,1.5083635278419703
AUS,2016-01-01,105.9423,101.277,5.942300000000002,1.277000000000001
AUS,2017-01-01,113.1881,103.2505,6.839383324696559,1.9486161714900732
AUS,2018-01-01,116.2508,105.2241,2.7058498199015553,1.9114677410763188
AUS,2019-01-01,119.7538,106.919,3.0133125965584755,1.6107526697781114
AUS,2020-01-01,129.8155,107.8245,8.401988078875148,0.8469027955742231
BRA,1996-01-01,5.488044,30.64846,37.18004286342049,15.757699595753053
BRA,1997-01-01,6.865677,32.77139,25.102440869643164,6.92671018380694
BRA,1998-01-01,7.882064,33.81846,14.803886055228057,3.1950735077151293
