LOCATION,r2,slope,r2cat
ISR,0.7542344500026943,1.1731069073491769,3
CHL,0.392119914564111,0.4549336241757863,3
ISL,0.3175606819600517,0.7288082440166173,3
TUR,0.2902813027225145,0.7224854501551392,3
IDN,0.25303678819316866,0.3396772906799959,3
RUS,0.24106729656390735,5.110800334628578,3
COL,0.1811253483439894,0.39769119690450005,3
BRA,0.17418173323981223,0.21950718734342184,2
OECDE,0.13228267425817608,0.10084005304147507,2
OECD,0.12035788557549898,0.22222338629701963,2
KOR,0.11564897405459418,0.2516013984048313,2
MEX,0.11403116454041484,0.15136270733575935,2
POL,0.09783377671141402,0.7819636406349609,2
HUN,0.09605955558766788,0.44323795478840294,2
CRI,0.08388457560815554,0.12925008445489855,1
CHN,0.07469504617753953,0.3001718767919333,1
CAN,0.03746417779463951,0.11906720298186414,1
JPN,0.019811704592441748,0.17870019649848332,1
ZAF,0.016132427544434336,0.1135432863323432,1
NOR,0.01321881512645684,0.11342066660814044,1
CZE,0.008724740664707631,0.09669035716125964,1
USA,0.006938976443375711,-0.05441609352197802,0
IND,0.003816325314850433,0.11372492794456837,0
SWE,0.0029450161505584216,0.03254624087047157,0
DNK,0.002860820700442246,0.023736552470366837,0
EA19,0.0020374595187394595,0.031309650980997646,0
GBR,0.0005440423794588201,0.0022890583066964973,0
CHE,0.00022751036420720627,0.014266448217223606,0
